epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.45176100730895996,0.2990598976612091,0.38113948702812195,1e-04,0.6539890766143799,0.6688425540924072,0.19416320323944092,0.10816985368728638,0.6561096906661987,0.28851044178009033,0.29187753796577454
1,0.6226421594619751,0.4567185640335083,0.19383351504802704,1e-04,0.8922653198242188,0.6348162293434143,0.19240373373031616,0.10701439529657364,0.5250293016433716,0.19920119643211365,0.0002579685824457556
2,0.6902725100517273,0.530375599861145,0.14829523861408234,1e-04,0.9340172410011292,0.6334728598594666,0.17563126981258392,0.09664065390825272,0.3990713655948639,0.09090909361839294,1.293075570174551e-06
3,0.7143576741218567,0.5581949353218079,0.13526150584220886,1e-04,0.9344582557678223,0.6378477215766907,0.15405403077602386,0.08360465615987778,0.34168529510498047,0.9907370209693909,0.0015904830070212483
4,0.7348231673240662,0.5833319425582886,0.12398847937583923,1e-04,0.9419522881507874,0.6478975415229797,0.1636040359735489,0.0892922654747963,0.3301369845867157,0.985878050327301,0.0038365551736205816
5,0.751580536365509,0.6043635606765747,0.1130400151014328,1e-04,0.9471753835678101,0.6536121964454651,0.24881160259246826,0.14245817065238953,0.28145408630371094,0.9714322686195374,0.05300639942288399
6,0.7621405720710754,0.6179965734481812,0.10690843313932419,1e-04,0.9494873881340027,0.6572799682617188,0.3834187686443329,0.23862148821353912,0.23179352283477783,0.976923406124115,0.1794135868549347
7,0.7719061970710754,0.6307010650634766,0.10179314762353897,1e-04,0.9504362940788269,0.6619827747344971,0.5347513556480408,0.3675282895565033,0.17827318608760834,0.9694958329200745,0.3450300693511963
8,0.7806471586227417,0.6422951221466064,0.09701350331306458,1e-04,0.9517421722412109,0.6656975150108337,0.6351633667945862,0.46746528148651123,0.13321179151535034,0.9672646522521973,0.4779414236545563
9,0.7880198359489441,0.6522349715232849,0.09310295432806015,1e-04,0.9521650671958923,0.6681859493255615,0.7078374624252319,0.5500082969665527,0.111539825797081,0.9676805734634399,0.5310699939727783
