,Image,Accuracy,F1,Jaccard,Recall,Precision
64,DSB\images\45f059cf21d85ecfce0eb93260516f1e2443d210e9a52f9ae2271d604aa3fcc5.jpg,0.891815185546875,0.8458628636027653,0.7328963230861965,0.7742269272097744,0.9321067509942025
65,DSB\images\62057502c387145ed4f8f7f0d5e5bedcb72d3bcec15fa71cb0310dee32871461.jpg,0.984649658203125,0.9522407899734144,0.9088355233348436,0.9308520512344534,0.9746355685131195
66,DSB\images\afa272dc01825d4b929b3bfc79a10f68dd3c163c450d858b964d1ce0bc93e131.jpg,0.9973602294921875,0.9768809301082454,0.9548066875653083,0.9891745602165088,0.9648891235480465
67,DSB\images\5f9d29d6388c700f35a3c29fa1b1ce0c1cba6667d05fdb70bd1e89004dcf71ed.jpg,0.9727783203125,0.9442499999999999,0.8943878759175942,0.9102849912634814,0.9808478867753035
68,DSB\images\6b61ab2e3ff0e2c7a55fd71e290b51e142555cf82bc7574fc27326735e8acbd1.jpg,0.9658050537109375,0.9070085895680318,0.8298405466970388,0.8896939107782481,0.9250105797714769
69,DSB\images\e4fc936ba57a936aaa5941ccc70946ab18fcebcb6e8d85a097c584aff9ca4d88.jpg,0.984832763671875,0.9214725865065571,0.8543803105772048,0.8683740321620012,0.9814877145742175
70,DSB\images\ecb36c90cdd20245d89173c106f3c6a2d124d07bdea0ae202fb1efa49b0cd169.jpg,0.9635162353515625,0.910906584193464,0.8363897632407281,0.8400687285223367,0.9947912427769187
71,DSB\images\6c85029f850d392791e13f74963391054ff54e508967bbd091ee510e9e58e011.jpg,0.9897003173828125,0.7895229186155285,0.652241112828439,0.8840782122905028,0.7132394366197183
72,DSB\images\5b2ccfb94dedf2ec8797c0404fc324888e35ab903c41bb26f070552033ca8e6c.jpg,0.9675750732421875,0.8995224360489857,0.8173927988313139,0.8892212769935496,0.9100650593187907
73,DSB\images\5d75a63972ef643efd7c42f20668b167f2af43635d6263962d84e62e7609ab51.jpg,0.921875,0.8529073776143415,0.7435383690643158,0.8287181777579277,0.8785511363636364
74,DSB\images\a102535b0e88374bea4a1cfd9ee7cb3822ff54f4ab2a9845d428ec22f9ee2288.jpg,0.9071502685546875,0.40581974416560884,0.25456327330638245,0.6718396378920142,0.2907106883044208
75,DSB\images\8de0b1a2e8f614af29fe5fafeaa5bdf55e6b3e65edf36355f19b707f7649ce2b.jpg,0.9972991943359375,0.9612945549967199,0.9254736842105263,0.9687086822388717,0.9539930555555556
76,DSB\images\d32ea6d318626ca14a967d0c1ad3218aebfe636624a8d1173f5150dde8ff38cf.jpg,0.999176025390625,0.9826812059012187,0.9659520807061791,0.9883870967741936,0.9770408163265306
77,DSB\images\0ddd8deaf1696db68b00c600601c6a74a0502caaf274222c8367bdc31458ae7e.jpg,0.931427001953125,0.7711579590589672,0.627548483341621,0.6301597869507324,0.9934400419837313
78,DSB\images\9520aff4efe87bd8f3901652fa2dde9b4bc9c679325966145ce00c1ca33f35de.jpg,0.901458740234375,0.532367849384504,0.36273929346753503,0.36555290373906124,0.9792221630261055
79,DSB\images\02903040e19ddf92f452907644ad3822918f54af41dd85e5a3fe3e1b6d6f9339.jpg,0.9168548583984375,0.7972465116279069,0.6628511322856082,0.6638780442461424,0.997671819705718
80,DSB\images\6aa7dd0c88bec4f96cdd497f9c37779733033d9ec6513307461302d36bd32ac7.jpg,0.995880126953125,0.9325674325674326,0.873654656059897,0.9663561076604554,0.9010617760617761
81,DSB\images\bfe8ef193a68a0a86a5e4ae1ddc27bda3f9ffe170494395be4030ba72737c565.jpg,0.9011077880859375,0.7201278231204388,0.5626560496659694,0.5633022564518309,0.9979652902453621
82,DSB\images\573e1480b500c395f8d3f1800e1998bf553af0d3d43039333d33cf37d08f64e5.jpg,0.9958648681640625,0.9252826027019576,0.8609543355566958,0.8803777544596013,0.9750145264381174
83,DSB\images\9c95eae11da041189e84cda20bdfb75716a6594684de4b6ce12a9aaadbb874c9.jpg,0.9944915771484375,0.8518670496512106,0.7419585418155825,0.8642797668609492,0.8398058252427184
84,DSB\images\0e4c2e2780de7ec4312f0efcd86b07c3738d21df30bb4643659962b4da5505a3.jpg,0.9005889892578125,0.7984532095901006,0.6645211122554068,0.6816141129245233,0.9636350059737157
85,DSB\images\df9a4212ecb67bb4e58eba62f293b91f9d6f1dde73e38fa891c75661d419fc97.jpg,0.985107421875,0.9149825783972125,0.8432883750802826,0.8557927326055076,0.9829683698296837
86,DSB\images\1e488c42eb1a54a3e8412b1f12cde530f950f238d71078f2ede6a85a02168e1f.jpg,0.8755950927734375,0.5391962923189962,0.36910933993654726,0.377134724857685,0.9454905847373637
87,DSB\images\8e507d58f4c27cd2a82bee79fe27b069befd62a46fdaed20970a95a2ba819c7b.jpg,0.9933929443359375,0.5903500473036897,0.41879194630872485,0.4279835390946502,0.9512195121951219
88,DSB\images\091944f1d2611c916b98c020bd066667e33f4639159b2a92407fe5a40788856d.jpg,0.98687744140625,0.0,0.0,0.0,0.0
89,DSB\images\ce88df7356d9d4a8d5944a93768f4c4b593de2d35616f7448c2b37b9fd60dd1f.jpg,0.9912261962890625,0.9397211447740853,0.8862962230571485,0.9762578958832498,0.9058205335489087
90,DSB\images\abd8dde78f8d37b68b28da67459371ed65f0a575523e94bc4ecbc88e6fedf0d0.jpg,0.9567413330078125,0.8305338035746309,0.7101819668779391,0.8276149630688587,0.8334733053389323
91,DSB\images\4948e3dfe0483c2198b9616612071ead5474dffd223071cf0a567aea9aca0b9e.jpg,0.902496337890625,0.7860156720916214,0.64746772591857,0.6492946058091287,0.9956731992873504
92,DSB\images\94a5a37c3b1153d5c5aef2eca53c960b9f21f2ef1758209d7ec502ec324b03a3.jpg,0.99896240234375,0.9698848538529673,0.9415305245055889,0.9811827956989247,0.9588441330998249
93,DSB\images\b0defa611b75645c0283464ee4163917bad382d335b61e8509f065bf371fa15f.jpg,0.9304656982421875,0.7993660018491612,0.6657865786578658,0.6679420204547126,0.9951764963823723
94,DSB\images\4b274461c6d001a7a9aeaf5952b40ac4934d1be96b9c176edfd628a8f77e6df2.jpg,0.9954681396484375,0.9261744966442954,0.8625,0.881267738883633,0.9759036144578314
